Ticker,Date,High,Low,Open,Close,AdjRatio,Liquidity,Shares
VNM,2020-01-02,118200,116500,117000,117900,1.23498579797778,41583330000,1741377694
VNM,2020-01-03,119000,118200,118200,118300,1.23498579797778,73983637000,1741377694
VNM,2020-01-06,118200,116800,118000,117400,1.23498579797778,69960538400,1741377694
VNM,2020-01-07,118800,117500,117500,118500,1.23498579797778,54453120000,1741377694
VNM,2020-01-08,118800,117500,118500,118800,1.23498579797778,99519948000,1741377694
VNM,2020-01-09,119500,118400,119000,118600,1.23498579797778,166281944000,1741377694
VNM,2020-01-10,119200,118400,118600,118900,1.23498579797778,117177139000,1741377694
VNM,2020-01-13,119000,117400,119000,117400,1.23498579797778,72766868000,1741377694
VNM,2020-01-14,118100,117100,117400,117800,1.23498579797778,86604204000,1741377694
VNM,2020-01-15,117900,117200,117800,117800,1.23498579797778,93855972000,1741377694
VNM,2020-01-16,118500,117200,117800,118200,1.23498579797778,81154938000,1741377694
VNM,2020-01-17,118600,117800,118200,118600,1.23498579797778,70984472000,1741377694
VNM,2020-01-20,119200,118400,119000,119000,1.23498579797778,196047740000,1741377694
VNM,2020-01-21,121900,118600,119000,121000,1.23498579797778,212379200000,1741377694
VNM,2020-01-22,121900,121000,121000,121300,1.23498579797778,344705488000,1741377694
VNM,2020-01-30,119800,116200,119000,116600,1.23498579797778,289040906000,1741377694
VNM,2020-01-31,116600,108500,116400,108500,1.23498579797778,286794795000,1741377694
VNM,2020-02-03,110500,101000,101500,108300,1.23498579797778,284626479000,1741377694
VNM,2020-02-04,110000,104100,109900,105000,1.23498579797778,206749200000,1741377694
VNM,2020-02-05,107700,103300,106400,106600,1.23498579797778,217010950000,1741377694
VNM,2020-02-06,108600,105900,106000,107500,1.23498579797778,250244950000,1741377694
VNM,2020-02-07,110500,107600,107700,110200,1.23498579797778,298480006000,1741377694
VNM,2020-02-10,109400,107300,109000,109000,1.23498579797778,99245590000,1741377694
VNM,2020-02-11,109000,107000,109000,107200,1.23498579797778,133675184000,1741377694
VNM,2020-02-12,108000,107200,108000,107200,1.23498579797778,89851824000,1741377694
VNM,2020-02-13,107500,106600,107200,106900,1.23498579797778,76279564000,1741377694
VNM,2020-02-14,107400,106600,107200,106600,1.23498579797778,94289832000,1741377694
VNM,2020-02-17,107600,106800,106800,107500,1.23498579797778,115385125000,1741377694
VNM,2020-02-18,107800,105300,107800,105500,1.23498579797778,113781750000,1741377694
VNM,2020-02-19,106700,105000,105000,106400,1.23498579797778,84531608000,1741377694
VNM,2020-02-20,107500,106300,107000,106400,1.23498579797778,77099568000,1741377694
VNM,2020-02-21,109400,107500,107500,108500,1.23498579797778,161068250000,1741377694
VNM,2020-02-24,107800,106000,107000,106400,1.23498579797778,115979192000,1741377694
VNM,2020-02-25,108500,106000,106300,108000,1.23498579797778,198743760000,1741377694
VNM,2020-02-26,106700,105000,106700,105000,1.23498579797778,191343600000,1741377694
VNM,2020-02-27,107400,103800,105000,107400,1.23498579797778,220134558000,1741377694
VNM,2020-02-28,106100,103000,105300,104500,1.23498579797778,881763685000,1741377694
VNM,2020-03-02,105500,103800,104500,104500,1.23498579797778,182101700000,1741377694
VNM,2020-03-03,106200,104600,105500,105300,1.23498579797778,219002940000,1741377694
VNM,2020-03-04,106000,104500,105300,104800,1.23498579797778,120645760000,1741377694
VNM,2020-03-05,105900,104500,105000,104500,1.23498579797778,93576615000,1741377694
VNM,2020-03-06,104800,103600,104500,104200,1.23498579797778,116174664000,1741377694
VNM,2020-03-09,102500,97000,100000,97000,1.23498579797778,249948630000,1741377694
VNM,2020-03-10,101800,96000,96000,101700,1.23498579797778,239625540000,1741377694
VNM,2020-03-11,105000,99200,102000,101600,1.23498579797778,269966440000,1741377694
VNM,2020-03-12,101500,97000,97200,100900,1.23498579797778,316987440000,1741377694
VNM,2020-03-13,100600,95200,95200,99100,1.23498579797778,249258302000,1741377694
VNM,2020-03-16,99200,96500,99100,97000,1.23498579797778,129071110000,1741377694
VNM,2020-03-17,96400,95000,96000,96000,1.23498579797778,207622080000,1741377694
VNM,2020-03-18,97800,95000,96200,95000,1.23498579797778,129704450000,1741377694
VNM,2020-03-19,94000,89000,93000,89000,1.23498579797778,246935840000,1741377694
VNM,2020-03-20,91300,89000,89000,90000,1.23498579797778,278732700000,1741377694
VNM,2020-03-23,89100,83700,89100,83700,1.23498579797778,183111327000,1741377694
VNM,2020-03-24,88300,83700,83700,86100,1.23498579797778,149773533000,1741377694
VNM,2020-03-25,92100,90100,90600,92000,1.23498579797778,290276560000,1741377694
VNM,2020-03-26,95000,88800,92300,94000,1.23498579797778,442066020000,1741377694
VNM,2020-03-27,95300,92000,93000,94100,1.23498579797778,339319895000,1741377694
VNM,2020-03-30,92500,89000,90000,91200,1.23498579797778,210652848000,1741377694
VNM,2020-03-31,93400,90000,92500,91000,1.23498579797778,192250240000,1741377694
VNM,2020-04-01,94000,91000,91000,94000,1.23498579797778,108638620000,1741377694
VNM,2020-04-03,95500,94000,94500,95000,1.23498579797778,185670850000,1741377694
VNM,2020-04-06,96600,95000,96500,96200,1.23498579797778,183313910000,1741377694
VNM,2020-04-07,99000,95800,96500,98500,1.23498579797778,314837520000,1741377694
VNM,2020-04-08,99000,96500,98000,99000,1.23498579797778,232614360000,1741377694
VNM,2020-04-09,100900,99200,99900,100100,1.23498579797778,196307111000,1741377694
VNM,2020-04-10,100000,98100,100000,99600,1.23498579797778,138323484000,1741377694
VNM,2020-04-13,99800,98300,99600,99100,1.23498579797778,134657080000,1741377694
VNM,2020-04-14,99700,98700,99500,99000,1.23498579797778,179348400000,1741377694
VNM,2020-04-15,99700,99200,99700,99200,1.23498579797778,198664864000,1741377694
VNM,2020-04-16,99500,98900,99300,99300,1.23498579797778,199830327000,1741377694
VNM,2020-04-17,100100,99000,100000,99300,1.23498579797778,251436537000,1741377694
VNM,2020-04-20,101200,100000,100000,100000,1.23498579797778,194215000000,1741377694
VNM,2020-04-21,100000,95800,100000,96800,1.23498579797778,461873456000,1741377694
VNM,2020-04-22,97600,95800,96100,97500,1.23498579797778,215582250000,1741377694
VNM,2020-04-23,98600,95900,98600,96100,1.23498579797778,151182598000,1741377694
VNM,2020-04-24,102800,97500,99300,102800,1.23498579797778,405530580000,1741377694
VNM,2020-04-27,106500,102800,106500,102800,1.23498579797778,200517568000,1741377694
VNM,2020-04-28,103000,99700,102800,100500,1.23498579797778,158339760000,1741377694
VNM,2020-04-29,99900,99000,99500,99000,1.23498579797778,203450940000,1741377694
VNM,2020-05-04,99000,97000,97000,97600,1.23498579797778,143298272000,1741377694
VNM,2020-05-05,100900,98000,98800,100500,1.23498579797778,296722230000,1741377694
VNM,2020-05-06,101500,99700,100700,101500,1.23498579797778,276922450000,1741377694
VNM,2020-05-07,103800,101500,101600,103400,1.23498579797778,371800550000,1741377694
VNM,2020-05-08,107600,104000,104500,105000,1.23498579797778,423074715000,1741377694
VNM,2020-05-11,108500,104700,105000,108500,1.23498579797778,205303700000,1741377694
VNM,2020-05-12,114400,107400,108500,113900,1.23498579797778,339951635000,1741377694
VNM,2020-05-13,115000,110000,113200,113700,1.23498579797778,426503481000,1741377694
VNM,2020-05-14,113900,112500,112600,113000,1.23498579797778,157945750000,1741377694
VNM,2020-05-15,113500,109400,113000,110800,1.23498579797778,364488788000,1741377694
VNM,2020-05-18,111800,109000,110800,111100,1.23498579797778,136517458000,1741377694
VNM,2020-05-19,114400,112300,113800,112600,1.23498579797778,187966558000,1741377694
VNM,2020-05-20,114400,112500,112500,114000,1.23498579797778,165263520000,1741377694
VNM,2020-05-21,115000,113500,114000,115000,1.23498579797778,215274250000,1741377694
VNM,2020-05-22,114800,113500,114400,114400,1.23498579797778,123902064000,1741377694
VNM,2020-05-25,117600,114100,114500,117600,1.23498579797778,204810984000,1741377694
VNM,2020-05-26,118000,115200,118000,117600,1.23498579797778,118795992000,1741377694
VNM,2020-05-27,117800,115000,117700,115000,1.23498579797778,127460250000,1741377694
VNM,2020-05-28,116000,114800,115000,114800,1.23498579797778,124500600000,1741377694
VNM,2020-05-29,115200,113500,113500,115000,1.23498579797778,192864200000,1741377694
VNM,2020-06-01,117000,115100,115100,116100,1.23498579797778,133169022000,1741377694
